Site,Address,Zip,latitude,longitude,Phone,Program Start/End Date,Service Days ,Breakfast Time,Lunch Time
Holy Trinity Baptist Church,3808  East 131st. Street,44120,41.4549659,-81.5912278,,5/15/15 - 8/31/15,M-F,9:00 AM - 10:30 AM,12:30 PM - 1:30 PM
JUST 4 KIDS,3565 MAYFIELD ROAD,44118,41.5205318,-81.5510577,,6/8/15 - 8/14/15,M-F,8:00AM - 9:00AM,11:00 AM - 12:00 PM
Karamu House,2355 East 89th Street,44105,41.4942474,-81.6240616,,6/1/15 - 8/21/15,M-R,6:30am - 9:30 AM,12:00 PM - 2:00 PM
Kingdom Builders of Christ Church,6612 st. clair avenue,44108,41.525588,-81.643814,,6/8/15 - 8/31/15,"M,S",None,5:00 PM - 5:45 PM
Liberty Hill Baptist Church,8206 Euclid Avenue,44103,41.5036158,-81.6305986,,6/8/15 - 8/14/15,M-F,7:00am - 8:00am,11:45 AM - 12:15 PM
Open Doors Academy,3311 Perkins Ave.,44114,41.5062256,-81.6639862,,6/15/15 - 8/6/15,M-F,None,12:00 PM - 1:00 PM
Parma City Schools,11212 Snow Road,44130,41.4050668,-81.7655419,,6/9/15 - 8/21/15,M-F,9:00am - 10:00am,12:00pm - 1:30pm
Pilgrim Congregational United Church of Christ,2592 West 14th Street,44113,41.4769211,-81.691864,,6/15/15 - 7/17/15,M-F,None,12:00pm - 1:00 PM
Robert H. Jamison School,4092 East 146th Street,44128,41.4481506,-81.5802231,,6/8/15 - 7/10/15,M-F,9:00am - 10:00am,1:00pm - 2:00pm
SA - Superior,9000 Superior Avenue,44106,41.5205078,-81.6249008,,6/8/15 - 8/14/15,M-F,None,11:30a - 12:30P
SA - Temple,17625 Grovewwod,44110,41.5767632,-81.5572128,,6/8/15 - 7/31/15,M-F,8:00am - 9:00am,12:00 PM - 1:30 AM
SA - West Park,12645 Lorain Ave,44111,41.4595116,-81.7760689,,6/22/15 - 8/7/15,M-F,9:00am - 10:00am,12:00 PM - 1:00 PM
SA-Ohio City,4402 Clark Ave,44109,41.4697026,-81.7166928,,6/8/15 - 7/31/15,M-F,8:30am - 9:00am,12:00 PM - 1:00 PM
Scranton Road Ministries ,3095 Scranton Road,44113,41.4701424,-81.6965942,,6/1/15 - 7/30/15,M-R,9:30 AM - 10:00 AM,12:00 PM - 12:30 PM
